NO_CAMPUS;CO_IES_CURSO;CO_CURSO_ACAD;NO_CURSO;DS_TURNO
APUCARANA;1443206;22;ENGENHARIA DE COMPUTAÇÃO;Diurno (M/T)
APUCARANA;1443206;22;ENGENHARIA DE COMPUTAÇÃO;Diurno (M/T)
APUCARANA;1443206;22;ENGENHARIA DE COMPUTAÇÃO;Diurno (M/T)
APUCARANA;1443206;22;ENGENHARIA DE COMPUTAÇÃO;Diurno (M/T)
APUCARANA;1443206;22;ENGENHARIA DE COMPUTAÇÃO;Diurno (M/T)
APUCARANA;1443206;22;ENGENHARIA DE COMPUTAÇÃO;Diurno (M/T)
APUCARANA;1443206;22;ENGENHARIA DE COMPUTAÇÃO;Diurno (M/T)
APUCARANA;1443206;22;ENGENHARIA DE COMPUTAÇÃO;Diurno (M/T)
APUCARANA;1443206;22;ENGENHARIA DE COMPUTAÇÃO;Diurno (M/T)
APUCARANA;1443206;22;ENGENHARIA DE COMPUTAÇÃO;Diurno (M/T)
APUCARANA;1443206;22;ENGENHARIA DE COMPUTAÇÃO;Diurno (M/T)
APUCARANA;1443206;22;ENGENHARIA DE COMPUTAÇÃO;Diurno (M/T)
APUCARANA;1443206;22;ENGENHARIA DE COMPUTAÇÃO;Diurno (M/T)
APUCARANA;1443206;22;ENGENHARIA DE COMPUTAÇÃO;Diurno (M/T)
APUCARANA;1443206;22;ENGENHARIA DE COMPUTAÇÃO;Diurno (M/T)
APUCARANA;1443206;22;ENGENHARIA DE COMPUTAÇÃO;Diurno (M/T)
APUCARANA;1443206;22;ENGENHARIA DE COMPUTAÇÃO;Diurno (M/T)
APUCARANA;1443206;22;ENGENHARIA DE COMPUTAÇÃO;Diurno (M/T)
APUCARANA;1443206;22;ENGENHARIA DE COMPUTAÇÃO;Diurno (M/T)
CAMPO MOURÃO;1164656;35;CIÊNCIA DA COMPUTAÇÃO;Integral (T/N)
CAMPO MOURÃO;1164656;35;CIÊNCIA DA COMPUTAÇÃO;Integral (T/N)
CAMPO MOURÃO;1164656;35;CIÊNCIA DA COMPUTAÇÃO;Integral (T/N)
CAMPO MOURÃO;1164656;35;CIÊNCIA DA COMPUTAÇÃO;Integral (T/N)
CAMPO MOURÃO;1164656;35;CIÊNCIA DA COMPUTAÇÃO;Integral (T/N)
CAMPO MOURÃO;1164656;35;CIÊNCIA DA COMPUTAÇÃO;Integral (T/N)
CAMPO MOURÃO;1164656;35;CIÊNCIA DA COMPUTAÇÃO;Integral (T/N)
CAMPO MOURÃO;1164656;35;CIÊNCIA DA COMPUTAÇÃO;Integral (T/N)
CAMPO MOURÃO;1164656;35;CIÊNCIA DA COMPUTAÇÃO;Integral (T/N)
CAMPO MOURÃO;1164656;35;CIÊNCIA DA COMPUTAÇÃO;Integral (T/N)
CAMPO MOURÃO;1164656;35;CIÊNCIA DA COMPUTAÇÃO;Integral (T/N)
CAMPO MOURÃO;1164656;35;CIÊNCIA DA COMPUTAÇÃO;Integral (T/N)
CAMPO MOURÃO;1164656;35;CIÊNCIA DA COMPUTAÇÃO;Integral (T/N)
CAMPO MOURÃO;1164656;35;CIÊNCIA DA COMPUTAÇÃO;Integral (T/N)
CAMPO MOURÃO;1164656;35;CIÊNCIA DA COMPUTAÇÃO;Integral (T/N)
CAMPO MOURÃO;1164656;35;CIÊNCIA DA COMPUTAÇÃO;Integral (T/N)
CAMPO MOURÃO;1164656;35;CIÊNCIA DA COMPUTAÇÃO;Integral (T/N)
CAMPO MOURÃO;1164656;35;CIÊNCIA DA COMPUTAÇÃO;Integral (T/N)
CAMPO MOURÃO;1164656;35;CIÊNCIA DA COMPUTAÇÃO;Integral (T/N)
CAMPO MOURÃO;1164656;35;CIÊNCIA DA COMPUTAÇÃO;Integral (T/N)
CAMPO MOURÃO;1164656;35;CIÊNCIA DA COMPUTAÇÃO;Integral (T/N)
CAMPO MOURÃO;1164656;35;CIÊNCIA DA COMPUTAÇÃO;Integral (T/N)
CAMPO MOURÃO;1164656;35;CIÊNCIA DA COMPUTAÇÃO;Integral (T/N)
CAMPO MOURÃO;1164656;35;CIÊNCIA DA COMPUTAÇÃO;Integral (T/N)
CAMPO MOURÃO;1164656;35;CIÊNCIA DA COMPUTAÇÃO;Integral (T/N)
CAMPO MOURÃO;1164656;35;CIÊNCIA DA COMPUTAÇÃO;Integral (T/N)
CAMPO MOURÃO;1164656;35;CIÊNCIA DA COMPUTAÇÃO;Integral (T/N)
CAMPO MOURÃO;1164656;35;CIÊNCIA DA COMPUTAÇÃO;Integral (T/N)
CAMPO MOURÃO;1164656;35;CIÊNCIA DA COMPUTAÇÃO;Integral (T/N)
CAMPO MOURÃO;1164656;35;CIÊNCIA DA COMPUTAÇÃO;Integral (T/N)
CAMPO MOURÃO;1164656;35;CIÊNCIA DA COMPUTAÇÃO;Integral (T/N)
CAMPO MOURÃO;1164656;35;CIÊNCIA DA COMPUTAÇÃO;Integral (T/N)
CAMPO MOURÃO;1164656;35;CIÊNCIA DA COMPUTAÇÃO;Integral (T/N)
CAMPO MOURÃO;1164656;35;CIÊNCIA DA COMPUTAÇÃO;Integral (T/N)
CAMPO MOURÃO;1164656;35;CIÊNCIA DA COMPUTAÇÃO;Integral (T/N)
CAMPO MOURÃO;1164656;35;CIÊNCIA DA COMPUTAÇÃO;Integral (T/N)
CAMPO MOURÃO;1164656;35;CIÊNCIA DA COMPUTAÇÃO;Integral (T/N)
CAMPO MOURÃO;1164656;35;CIÊNCIA DA COMPUTAÇÃO;Integral (T/N)
CAMPO MOURÃO;1164656;35;CIÊNCIA DA COMPUTAÇÃO;Integral (T/N)
CAMPO MOURÃO;1164656;35;CIÊNCIA DA COMPUTAÇÃO;Integral (T/N)
CAMPO MOURÃO;1164656;35;CIÊNCIA DA COMPUTAÇÃO;Integral (T/N)
CAMPO MOURÃO;1164656;35;CIÊNCIA DA COMPUTAÇÃO;Integral (T/N)
CAMPO MOURÃO;1164656;35;CIÊNCIA DA COMPUTAÇÃO;Integral (T/N)
CAMPO MOURÃO;1164656;35;CIÊNCIA DA COMPUTAÇÃO;Integral (T/N)
CAMPO MOURÃO;1164656;35;CIÊNCIA DA COMPUTAÇÃO;Integral (T/N)
CAMPO MOURÃO;1164656;35;CIÊNCIA DA COMPUTAÇÃO;Integral (T/N)
CAMPO MOURÃO;1164656;35;CIÊNCIA DA COMPUTAÇÃO;Integral (T/N)
CAMPO MOURÃO;1164656;35;CIÊNCIA DA COMPUTAÇÃO;Integral (T/N)
CAMPO MOURÃO;1164656;35;CIÊNCIA DA COMPUTAÇÃO;Integral (T/N)
CAMPO MOURÃO;1164656;35;CIÊNCIA DA COMPUTAÇÃO;Integral (T/N)
CAMPO MOURÃO;1164656;35;CIÊNCIA DA COMPUTAÇÃO;Integral (T/N)
CAMPO MOURÃO;1164656;35;CIÊNCIA DA COMPUTAÇÃO;Integral (T/N)
CAMPO MOURÃO;1164656;35;CIÊNCIA DA COMPUTAÇÃO;Integral (T/N)
CAMPO MOURÃO;1164656;35;CIÊNCIA DA COMPUTAÇÃO;Integral (T/N)
CAMPO MOURÃO;1164656;35;CIÊNCIA DA COMPUTAÇÃO;Integral (T/N)
CAMPO MOURÃO;1164656;35;CIÊNCIA DA COMPUTAÇÃO;Integral (T/N)
CORNÉLIO PROCÓPIO;1102764;41;ENGENHARIA DE COMPUTAÇÃO;Diurno (M/T)
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;1102764;41;ENGENHARIA DE COMPUTAÇÃO;Diurno (M/T)
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;110144;29;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;110144;29;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Noite
CORNÉLIO PROCÓPIO;110144;29;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Noite
CORNÉLIO PROCÓPIO;110144;29;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;110144;29;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;110144;29;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Noite
CORNÉLIO PROCÓPIO;1102764;41;ENGENHARIA DE COMPUTAÇÃO;Diurno (M/T)
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;1102764;41;ENGENHARIA DE COMPUTAÇÃO;Diurno (M/T)
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;1102764;41;ENGENHARIA DE COMPUTAÇÃO;Diurno (M/T)
CORNÉLIO PROCÓPIO;110144;29;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;1102764;41;ENGENHARIA DE COMPUTAÇÃO;Diurno (M/T)
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;110144;29;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Noite
CORNÉLIO PROCÓPIO;110144;29;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;110144;29;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;110144;29;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Noite
CORNÉLIO PROCÓPIO;110144;29;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Noite
CORNÉLIO PROCÓPIO;110144;29;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;110144;29;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;110144;29;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;110144;29;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;110144;29;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Noite
CORNÉLIO PROCÓPIO;110144;29;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;110144;29;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;1102764;41;ENGENHARIA DE COMPUTAÇÃO;Diurno (M/T)
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;110144;29;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;1102764;41;ENGENHARIA DE COMPUTAÇÃO;Diurno (M/T)
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;110144;29;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Noite
CORNÉLIO PROCÓPIO;1102764;41;ENGENHARIA DE COMPUTAÇÃO;Diurno (M/T)
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;110144;29;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;110144;29;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;1102764;41;ENGENHARIA DE COMPUTAÇÃO;Diurno (M/T)
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;110144;29;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;110144;29;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;110144;29;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;1102764;41;ENGENHARIA DE COMPUTAÇÃO;Diurno (M/T)
CORNÉLIO PROCÓPIO;110144;29;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;110144;29;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Noite
CORNÉLIO PROCÓPIO;110144;29;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;110144;29;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;1102764;41;ENGENHARIA DE COMPUTAÇÃO;Diurno (M/T)
CORNÉLIO PROCÓPIO;110144;29;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;1102764;41;ENGENHARIA DE COMPUTAÇÃO;Diurno (M/T)
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;110144;29;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Noite
CORNÉLIO PROCÓPIO;1102764;41;ENGENHARIA DE COMPUTAÇÃO;Diurno (M/T)
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;110144;29;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;1102764;41;ENGENHARIA DE COMPUTAÇÃO;Diurno (M/T)
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;1102764;41;ENGENHARIA DE COMPUTAÇÃO;Diurno (M/T)
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;1102764;41;ENGENHARIA DE COMPUTAÇÃO;Diurno (M/T)
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;1102764;41;ENGENHARIA DE COMPUTAÇÃO;Diurno (M/T)
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;1102764;41;ENGENHARIA DE COMPUTAÇÃO;Diurno (M/T)
CORNÉLIO PROCÓPIO;110144;29;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;1102764;41;ENGENHARIA DE COMPUTAÇÃO;Diurno (M/T)
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;110144;29;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;110144;29;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Noite
CORNÉLIO PROCÓPIO;1102764;41;ENGENHARIA DE COMPUTAÇÃO;Diurno (M/T)
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;110144;29;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;1102764;41;ENGENHARIA DE COMPUTAÇÃO;Diurno (M/T)
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;101947;43;ENGENHARIA MECÂNICA;Diurno (M/T)
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;110144;29;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Noite
CORNÉLIO PROCÓPIO;1102764;41;ENGENHARIA DE COMPUTAÇÃO;Diurno (M/T)
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;1102764;41;ENGENHARIA DE COMPUTAÇÃO;Diurno (M/T)
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;110144;29;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Noite
CORNÉLIO PROCÓPIO;1102764;41;ENGENHARIA DE COMPUTAÇÃO;Diurno (M/T)
CORNÉLIO PROCÓPIO;1102764;41;ENGENHARIA DE COMPUTAÇÃO;Diurno (M/T)
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;1102764;41;ENGENHARIA DE COMPUTAÇÃO;Diurno (M/T)
CORNÉLIO PROCÓPIO;110144;29;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;1102764;41;ENGENHARIA DE COMPUTAÇÃO;Diurno (M/T)
CORNÉLIO PROCÓPIO;110144;29;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Noite
CORNÉLIO PROCÓPIO;110144;29;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Noite
CORNÉLIO PROCÓPIO;110144;29;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Noite
CORNÉLIO PROCÓPIO;110144;29;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;1102764;41;ENGENHARIA DE COMPUTAÇÃO;Diurno (M/T)
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;110144;29;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;110144;29;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Noite
CORNÉLIO PROCÓPIO;1102764;41;ENGENHARIA DE COMPUTAÇÃO;Diurno (M/T)
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;1102764;41;ENGENHARIA DE COMPUTAÇÃO;Diurno (M/T)
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;110144;29;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;110144;29;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;110144;29;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;110144;29;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Noite
CORNÉLIO PROCÓPIO;1102764;41;ENGENHARIA DE COMPUTAÇÃO;Diurno (M/T)
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;1102764;41;ENGENHARIA DE COMPUTAÇÃO;Diurno (M/T)
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;110144;29;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;1102764;41;ENGENHARIA DE COMPUTAÇÃO;Diurno (M/T)
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;110144;29;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;1102764;41;ENGENHARIA DE COMPUTAÇÃO;Diurno (M/T)
CORNÉLIO PROCÓPIO;110144;29;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;110144;29;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Noite
CORNÉLIO PROCÓPIO;1102764;41;ENGENHARIA DE COMPUTAÇÃO;Diurno (M/T)
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;1102764;41;ENGENHARIA DE COMPUTAÇÃO;Diurno (M/T)
CORNÉLIO PROCÓPIO;1102764;41;ENGENHARIA DE COMPUTAÇÃO;Diurno (M/T)
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
CORNÉLIO PROCÓPIO;110144;29;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Noite
CORNÉLIO PROCÓPIO;110144;29;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Noite
CORNÉLIO PROCÓPIO;1284709;65;ENGENHARIA DE SOFTWARE;Noite
